20/03/2020;7,95;Dia da Chegada. Ração para Filhotes, Alimentando-se à vontade, sem horários - Idade 2 meses e 28 dias.;;;;;;;;;;;;;
27/03/2020;9,75;;;;;;;;;;;;;;
04/04/2020;11,70;;;;;;;;;;;;;;
10/04/2020;12,95;;;;;;;;;;;;;;
17/04/2020;14,30;;;;;;;;;;;;;;
24/04/2020;15,90;;;;;;;;;;;;;;
01/05/2020;17,65;39,525;;;;;;;;;;;;;
20/06/2020;27,10;28,00;;;;;;;;;;;;;
26/06/2020;27,45;;;;;;;;;;;;;;
03/07/2020;28,75;;;;;;;;;;;;;;
12/07/2020;29,85;;;;;;;;;;;;;;
19/07/2020;31,75;;;;;;;;;;;;;;
24/07/2020;31,50;;;;;;;;;;;;;;
31/07/2020;32,60;;;;;;;;;;;;;;
08/08/2020;33,90;;;;;;;;;;;;;;
16/08/2020;35,20;;;;;;;;;;;;;;
22/08/2020;35,80;;;;;;;;;;;;;;
29/08/2020;36,30;;;;;;;;;;;;;;
05/09/2020;36,60;;;;;;;;;;;;;;
11/09/2020;36,80;;;;;;;;;;;;;;
19/09/2020;38,20;;;;;;;;;;;;;;
26/09/2020;39,10;;;;;;;;;;;;;;
03/10/2020;40,00;;;;;;;;;;;;;;
09/10/2020;40,80;;;;;;;;;;;;;;
16/10/2020;41,85;;;;;;;;;;;;;;
23/10/2020;41,00;;;;;;;;;;;;;;
30/10/2020;40,85;Aumentei a ração. 280g TOTAL por refeição, 560g total dia.);;;;;;;;;;;;;
07/11/2020;41,90;;;;;;;;;;;;;;
14/11/2020;40,90;Jejum há 6 horas;;;;;;;;;;;;;
21/11/2020;40,75;Jantou há 2 horas;;;;;;;;;;;;;
28/11/2020;41,90;Antes do jantar;;;;;;;;;;;;;
05/12/2020;41,75;Antes do jantar;;;;;;;;;;;;;
13/12/2020;42,10;Antes do jantar;;;;;;;;;;;;;
19/12/2020;42,30;Antes do jantar;;;;;;;;;;;;;
26/12/2020;42,90;Antes do jantar;;;;;;;;;;;;;
02/01/2021;42,65;Antes do jantar;;;;;;;;;;;;;
09/01/2021;41,80;Antes do jantar;;;;;;;;;;;;;
15/01/2021;41,90;Antes do jantar;;;;;;;;;;;;;
24/01/2021;41,55;Antes do jantar;;;;;;;;;;;;;
30/01/2021;41,50;Antes do jantar;;;;;;;;;;;;;
07/02/2021;41,80;Antes do almoço;;;;;;;;;;;;;
14/02/2021;40,80;Antes do jantar;;;;;;;;;;;;;
20/02/2021;41,10;Antes do jantar;;;;;;;;;;;;;
27/02/2021;40,85;Antes do almoço;;;;;;;;;;;;;
07/03/2021;40,80;Antes do almoço;;;;;;;;;;;;;
14/03/2021;40,95;Antes do jantar;;;;;;;;;;;;;
20/03/2021;40,70;Antes do almoço;;;;;;;;;;;;;
29/03/2021;41,40;Antes do jantar;;;;;;;;;;;;;
03/04/2021;41,35;Antes do almoço;;;;;;;;;;;;;
10/04/2021;41,35;Antes do jantar;;;;;;;;;;;;;
18/04/2021;41,50;Antes do jantar;;;;;;;;;;;;;
25/04/2021;42,30;Antes do almoço;;;;;;;;;;;;;
01/05/2021;41,80;Antes do jantar;;;;;;;;;;;;;
08/05/2021;41,75;Antes do jantar;;;;;;;;;;;;;
15/05/2021;42,05;Antes do jantar;;;;;;;;;;;;;
23/05/2021;42,05;Antes do jantar;;;;;;;;;;;;;
30/05/2021;43,40;Antes do jantar;;;;;;;;;;;;;
06/06/2021;43,40;Antes do jantar;;;;;;;;;;;;;
12/06/2021;42,70;Antes do jantar;;;;;;;;;;;;;
20/06/2021;42,00;Antes do jantar;;;;;;;;;;;;;
27/06/2021;42,15;Antes do almoço;;;;;;;;;;;;;
03/07/2021;41,65;Antes do almoço;;;;;;;;;;;;;
10/07/2021;42,45;Antes do Jantar;;;;;;;;;;;;;
20/07/2021;42,50;4 horas após almoço;;;;;;;;;;;;;
26/07/2021;42,20;Antes do jantar;;;;;;;;;;;;;
02/08/2021;42,15;Antes do jantar;;;;;;;;;;;;;
07/08/2021;42,50;Antes do jantar;;;;;;;;;;;;;
